楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
春告胡蝶,EXHAUST,16,PLAYED,AAA+,9829984,4829,1,0,0,0
春告胡蝶,MAXIMUM,18,PLAYED,AAA,9745278,6110,1,0,0,0
ミュージックプレイヤー,EXHAUST,15,PLAYED,AAA+,9869854,0,1,0,0,0
LubedeR,EXHAUST,17,PLAYED,AA,9366883,0,2,0,0,0
Redshift 2nd Ignition,EXHAUST,17,PLAYED,AA+,9511970,0,4,0,0,0
Яe:son D'être,ADVANCED,12,PLAYED,A+,9218750,0,1,0,0,0
Яe:son D'être,EXHAUST,15,PLAYED,AA+,9674674,3252,1,0,0,0
floorkiller,VIVID,17,PLAYED,A+,9240561,0,1,0,0,0
DEEP PSYCHEDELIC STRIKER,MAXIMUM,17,COMPLETE,AA,9388739,5030,1,1,0,0
L9,MAXIMUM,18,PLAYED,A+,9094330,5834,1,0,0,0
Still Lonesome,MAXIMUM,17,COMPLETE,AA,9442640,4279,1,1,0,0
Bolérrot,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9727807,0,2,2,0,0
色を喪った街,EXHAUST,17,COMPLETE,AA,9499696,0,5,1,0,0
色を喪った街,MAXIMUM,19,PLAYED,AA,9309718,6046,12,0,0,0
ENDYMION,EXHAUST,17,PLAYED,A,8936235,4334,2,0,0,0
Katharsis,EXHAUST,16,COMPLETE,AAA,9705660,3856,4,1,0,0
Katharsis,MAXIMUM,18,PLAYED,AA,9460358,5467,2,0,0,0
SAMURAI TIGER,EXHAUST,16,PLAYED,AA+,9583566,4837,4,0,0,0
SAMURAI TIGER,MAXIMUM,18,PLAYED,AA,9397859,5865,3,0,0,0
666,NOVICE,8,COMPLETE,S,9981354,3747,1,1,0,0
666,EXHAUST,18,COMPLETE,AAA,9774283,8331,29,14,0,0
666,MAXIMUM,20,PLAYED,AA,9477028,10127,15,0,0,0
ZEИITH,EXHAUST,16,PLAYED,AA,9471326,0,6,0,0,0
ZEИITH,MAXIMUM,18,PLAYED,A+,9204601,5779,3,0,0,0
9TH5IN,EXHAUST,17,EXCESSIVE COMPLETE,S,9922131,6948,13,10,0,0
9TH5IN,MAXIMUM,19,PLAYED,A+,9299856,7579,2,0,0,0
ЯeviveR,EXHAUST,17,COMPLETE,AA+,9539330,6168,5,1,0,0
ЯeviveR,MAXIMUM,19,PLAYED,A+,9233531,8477,3,0,0,0
Elemental Creation (kamome sano Remix),EXHAUST,16,EXCESSIVE COMPLETE,AA,9308419,3458,1,1,0,0
ANGER of the GOD,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9815329,0,2,2,0,0
SHION (ロースピード幻想チューン Remix),MAXIMUM,16,COMPLETE,AAA+,9814951,3932,2,2,0,0
ULTRA B+K,MAXIMUM,17,PLAYED,AA,9453051,0,1,0,0,0
MilK,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9853723,5458,9,3,0,0
OZONE,EXHAUST,15,COMPLETE,AA,9424559,0,1,1,0,0
OUTERHEΛVEN,EXHAUST,17,COMPLETE,A+,9102380,5180,1,1,0,0
OUTERHEΛVEN,MAXIMUM,19,COMPLETE,AA,9454148,7083,23,3,0,0
θコトノハθカプセルθ,EXHAUST,17,COMPLETE,AA,9368646,5583,1,1,0,0
Butterfly Twist,MAXIMUM,18,COMPLETE,AA+,9526041,5391,1,1,0,0
ultra turbo,ADVANCED,11,PLAYED,A+,9025974,0,1,0,0,0
AXION,EXHAUST,15,COMPLETE,AA+,9583333,3083,4,3,0,0
AXION,MAXIMUM,17,COMPLETE,AA,9440468,4394,5,1,0,0
Nhelv,MAXIMUM,18,COMPLETE,AAA,9768457,7016,14,6,0,0
Trill auf G,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9844844,0,1,1,0,0
Trill auf G,MAXIMUM,19,COMPLETE,AA+,9575609,7928,3,2,0,0
voltississimo,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9878251,5790,4,4,0,0
ロキ,EXHAUST,14,COMPLETE,AA,9351325,0,3,2,0,0
ロキ,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9866577,3744,16,15,0,0
ΣgØ,EXHAUST,18,COMPLETE,AA+,9551130,7578,4,1,0,0
ΩVERFLOW,MAXIMUM,18,COMPLETE,AA+,9541511,6764,3,1,0,0
Ghost Family Living In Graveyard,EXHAUST,17,PLAYED,A+,9247508,6754,1,0,0,0
星の透る夏空に願う,EXHAUST,16,PLAYED,A,8754708,0,1,0,0,0
MARENOL,MAXIMUM,17,EXCESSIVE COMPLETE,S,9901755,6377,3,3,0,0
JǛPITΨR ♃ GЯÃVITÝ,MAXIMUM,18,COMPLETE,AA+,9519071,6026,3,1,0,0
Xicholauncher,MAXIMUM,18,COMPLETE,AAA,9737819,6250,1,1,0,0
Chocolate Parade,MAXIMUM,17,PLAYED,A+,9299299,0,1,0,0,0
Enchanté,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9638519,5064,2,2,0,0
革命パッショネイト,MAXIMUM,17,EXCESSIVE COMPLETE,S,9942434,6781,3,3,0,0
Sharkbait,MAXIMUM,17,COMPLETE,AA,9368231,3250,1,1,0,0
Hi-Fi!!双子'S,EXHAUST,14,COMPLETE,A+,9277684,0,2,1,0,0
び,MAXIMUM,18,COMPLETE,A+,9277576,5252,17,4,0,0
君は Fantasista,MAXIMUM,17,COMPLETE,AA+,9522717,0,1,1,0,0
消失(Hommarju Remix),MAXIMUM,18,PLAYED,A+,9100000,7154,3,0,0,0
scary night,MAXIMUM,17,COMPLETE,AA+,9551536,5114,1,1,0,0
ぼくらの16bit戦争,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9831852,4469,8,5,0,0
V,EXHAUST,15,PLAYED,A,8975206,0,1,0,0,0
V,MAXIMUM,18,PLAYED,A,8898521,5667,4,0,0,0
ΣmbryØ,EXHAUST,18,COMPLETE,AA+,9557057,7338,2,1,0,0
Cross Fire,MAXIMUM,19,COMPLETE,AA+,9640097,6609,11,1,0,0
GODHEART,MAXIMUM,19,PLAYED,A+,9261321,0,1,0,0,0
ゴーストルール,MAXIMUM,17,COMPLETE,AA+,9589071,5408,7,5,0,0
すろぉもぉしょん,MAXIMUM,17,COMPLETE,A+,9267515,4740,1,1,0,0
セイシュンライナー,EXHAUST,15,PLAYED,AA,9394283,0,1,0,0,0
アンハッピーリフレイン,MAXIMUM,17,COMPLETE,AA,9358626,5697,3,1,0,0
ローリンガール,MAXIMUM,16,EXCESSIVE COMPLETE,AAA,9703996,5094,5,4,0,0
Sulk,MAXIMUM,17,COMPLETE,AA+,9687632,6101,5,2,0,0
逆月,EXHAUST,17,COMPLETE,AA+,9627565,5125,2,1,0,0
Elemental Creation,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9834360,0,2,2,0,0
Elemental Creation,MAXIMUM,19,COMPLETE,AA+,9516949,8177,5,1,0,0
Tic Exe,MAXIMUM,17,PLAYED,AA+,9528645,0,1,0,0,0
Night Rockin' Bird,EXHAUST,14,PLAYED,D,5258258,0,1,0,0,0
Breakin' Asia,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9839326,0,1,1,0,0
Another Chapter,MAXIMUM,17,COMPLETE,AA,9461247,6406,1,1,0,0
Absolute Domination,EXHAUST,17,PLAYED,A,8719144,0,1,0,0,0
オニユリ,MAXIMUM,18,COMPLETE,AA,9383458,7109,1,1,0,0
Xronièr,EXHAUST,18,COMPLETE,AA,9404703,5806,4,2,0,0
Xronièr,MAXIMUM,20,COMPLETE,AA,9444234,7299,10,1,0,0
サイコパスラビット,EXHAUST,16,COMPLETE,AA,9440395,0,1,1,0,0
スラッシュ//シスターズ,MAXIMUM,18,COMPLETE,AA,9437002,6259,2,1,0,0
Made In Love,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9785984,6266,2,2,0,0
FREEDOM DiVE,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9803788,6713,9,7,0,0
FREEDOM DiVE,MAXIMUM,19,COMPLETE,AA,9311618,8073,2,1,0,0
Invisible Full Moon 古屋直雪 remix,MAXIMUM,16,COMPLETE,AA+,9561527,0,1,1,0,0
Mysterious Nights,EXHAUST,13,PLAYED,A+,9046167,0,1,0,0,0
KIMIDORI Streak!!,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9755305,6173,6,5,0,0
失敗作少女,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9846837,5437,6,6,0,0
Chrono Diver -PENDULUMs-,EXHAUST,17,ULTIMATE CHAIN,S,9938633,0,1,1,1,0
Chrono Diver -PENDULUMs-,MAXIMUM,19,PLAYED,A+,9182618,0,1,0,0,0
煙,MAXIMUM,17,COMPLETE,AA,9381970,5436,1,1,0,0
Blue Stream,MAXIMUM,17,COMPLETE,A,8974358,4128,1,1,0,0
Dreaming feat. nomico,MAXIMUM,17,COMPLETE,AA+,9521224,4971,1,1,0,0
β,MAXIMUM,17,COMPLETE,AA,9487010,5924,2,1,0,0
RHYZING BEAT,MAXIMUM,18,PLAYED,A+,9106511,0,2,0,0,0
Re：End of a Dream,ADVANCED,13,PLAYED,B,8012684,0,1,0,0,0
Re：End of a Dream,EXHAUST,16,COMPLETE,AA,9374127,0,4,1,0,0
Re：End of a Dream,MAXIMUM,18,PLAYED,A+,9064288,0,1,0,0,0
スピーカーガール！,GRAVITY,16,PLAYED,D,2530573,0,1,0,0,0
Awakening,EXHAUST,17,COMPLETE,AA,9406938,0,1,1,0,0
Wings of Glory,MAXIMUM,18,PLAYED,A+,9105397,0,1,0,0,0
Xéroa,EXHAUST,17,COMPLETE,A+,9244538,4360,1,1,0,0
メルヘン風紀委員会,MAXIMUM,17,COMPLETE,AA,9364107,0,1,1,0,0
からくりピエロ,EXHAUST,12,PLAYED,B,8586165,0,1,0,0,0
からくりピエロ,MAXIMUM,16,EXCESSIVE COMPLETE,AAA,9702878,3053,7,6,0,0
ワールズエンド・ダンスホール,EXHAUST,14,COMPLETE,A+,9272495,0,2,1,0,0
ワールズエンド・ダンスホール,MAXIMUM,18,PLAYED,A,8773327,0,2,0,0,0
I,ADVANCED,15,COMPLETE,AA,9325396,0,3,1,0,0
I,EXHAUST,18,COMPLETE,AA+,9600766,7505,15,8,0,0
I,MAXIMUM,20,PLAYED,AA,9321566,8388,1,0,0,0
CUTE-Reflection,MAXIMUM,17,COMPLETE,AA+,9531798,6110,1,1,0,0
Cloud 9,EXHAUST,16,COMPLETE,AA,9396401,0,1,1,0,0
僕らの時間,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9738717,5699,2,2,0,0
Lionheart,EXHAUST,14,PLAYED,AA,9315175,0,1,0,0,0
VOLTEXES IV,MAXIMUM,17,COMPLETE,AA,9362026,0,1,1,0,0
НУМЛ,MAXIMUM,18,PLAYED,AA,9463435,6603,9,0,0,0
Zelophilia,MAXIMUM,17,COMPLETE,A+,9259259,4706,1,1,0,0
Royal Action,MAXIMUM,17,PLAYED,AA,9401900,0,2,0,0,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Empress Side,EXHAUST,18,PLAYED,A+,9209956,4349,2,0,0,0
TWO-TORIAL,EXHAUST,17,COMPLETE,AA,9309670,4603,2,2,0,0
BEAST BASS BOMB,NOVICE,6,COMPLETE,AAA+,9800884,0,1,1,0,0
Far Away,ADVANCED,12,COMPLETE,A+,9071803,0,1,1,0,0
゜*。Chantilly Fille。*°,MAXIMUM,16,COMPLETE,AA,9477272,0,1,1,0,0
Poppin’Cats!!,MAXIMUM,17,COMPLETE,AA,9367088,4954,1,1,0,0
Scarlet Lance,MAXIMUM,18,PLAYED,AA,9357615,0,1,0,0,0
地球防衛乙女パンナコッター,ADVANCED,8,PLAYED,A,8736842,0,1,0,0,0
チルノのパーフェクトさんすう教室　⑨周年バージョン,MAXIMUM,16,COMPLETE,AA,9357798,0,2,1,0,0
NEON LOVE♥POTION!!!,MAXIMUM,17,PLAYED,AA,9472708,0,2,0,0,0
WONDER_WOBBLER,MAXIMUM,17,PLAYED,AA+,9644846,0,1,0,0,0
Grand-Guignol,MAXIMUM,18,COMPLETE,AA+,9676884,6453,1,1,0,0
神獄烙桜,MAXIMUM,18,COMPLETE,AA+,9557169,5959,5,1,0,0
Staring at star,ADVANCED,14,PLAYED,B,8027744,0,1,0,0,0
セイレーン ～悲壮の竪琴～,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9740180,6713,2,2,0,0
Dyscontrolled Galaxy,EXHAUST,17,COMPLETE,AAA,9702505,5980,3,2,0,0
Dyscontrolled Galaxy,MAXIMUM,19,PLAYED,A,8879605,6417,1,0,0,0
FIN4LE ～終止線の彼方へ～,ADVANCED,15,PLAYED,C,7225170,0,1,0,0,0
FIN4LE ～終止線の彼方へ～,EXHAUST,18,COMPLETE,AA,9472667,5401,9,3,0,0
FIN4LE ～終止線の彼方へ～,MAXIMUM,20,PLAYED,D,974304,0,2,0,0,0
WHITEOUT,ADVANCED,15,PLAYED,B,7612197,0,1,0,0,0
WHITEOUT,EXHAUST,18,COMPLETE,AAA,9712426,7075,4,2,0,0
Altale,MAXIMUM,17,COMPLETE,AA,9476854,4445,3,1,0,0
PUPA,ADVANCED,13,COMPLETE,AA,9447612,0,3,2,0,0
PUPA,EXHAUST,16,COMPLETE,AA,9335135,4971,6,3,0,0
PUPA,MAXIMUM,18,PLAYED,A,8941402,0,1,0,0,0
Burn everything,MAXIMUM,16,PLAYED,A+,9246079,0,1,0,0,0
冒涜的選択のアレグリア ft. Mayumi Morinaga,MAXIMUM,15,COMPLETE,S,9908424,0,1,1,0,0
透明な記憶の風穴,EXHAUST,12,PLAYED,AA,9302620,0,1,0,0,0
Technical Master,MAXIMUM,17,COMPLETE,AA+,9587939,4813,1,1,0,0
Junk Mania,MAXIMUM,17,COMPLETE,AA,9320622,4657,2,1,0,0
Inscape,MAXIMUM,17,COMPLETE,A+,9211229,4964,1,1,0,0
VAMPIRE,MAXIMUM,16,COMPLETE,A+,9132791,0,1,1,0,0
湖底遺跡のヴィダー・ハル,MAXIMUM,15,COMPLETE,A+,9054893,0,1,1,0,0
パンダヒーロー,EXHAUST,10,COMPLETE,AA,9308943,0,2,1,0,0
パンダヒーロー,MAXIMUM,15,COMPLETE,AA,9462521,0,3,1,0,0
マトリョシカ,EXHAUST,12,COMPLETE,A+,9118291,0,2,1,0,0
マトリョシカ,MAXIMUM,16,COMPLETE,AAA,9711064,3530,8,6,0,0
iLLness LiLin,EXHAUST,17,COMPLETE,AA+,9649721,5162,3,3,0,0
iLLness LiLin,MAXIMUM,20,PLAYED,A+,9102742,6495,5,0,0,0
Gamerz FestivaL,MAXIMUM,18,COMPLETE,AA,9492436,6453,3,1,0,0
Fly far bounce,MAXIMUM,17,COMPLETE,AA+,9611553,0,1,1,0,0
Carry Me Away,MAXIMUM,17,COMPLETE,AA,9436444,5085,1,1,0,0
If,MAXIMUM,17,COMPLETE,AA,9412599,4445,2,1,0,0
Immortal saga,MAXIMUM,19,COMPLETE,AA,9476314,6196,8,3,0,0
Fin.ArcDeaR,EXHAUST,18,COMPLETE,AA,9381941,5601,1,1,0,0
Fin.ArcDeaR,MAXIMUM,19,COMPLETE,AA,9301688,6377,6,1,0,0
HE4VEN ～天国へようこそ～,ADVANCED,15,COMPLETE,AA+,9639389,3427,11,6,0,0
HE4VEN ～天国へようこそ～,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9775641,5870,15,10,0,0
HE4VEN ～天国へようこそ～,MAXIMUM,20,PLAYED,AA,9313247,6303,8,0,0,0
Rebuilding of Paradise Lost,MAXIMUM,17,COMPLETE,A+,9265043,5317,1,1,0,0
Aragami,EXHAUST,15,PLAYED,A+,9236069,0,1,0,0,0
Aragami,MAXIMUM,17,COMPLETE,A+,9289033,5541,1,1,0,0
インビジブル,MAXIMUM,17,EXCESSIVE COMPLETE,S,9919398,5620,6,5,0,0
裏表ラバーズ,MAXIMUM,16,EXCESSIVE COMPLETE,AA+,9550561,0,2,2,0,0
きゅん×きゅんばっきゅん☆LOVE,MAXIMUM,15,PLAYED,A,8787522,0,1,0,0,0
JULIAN,MAXIMUM,17,COMPLETE,AA,9369085,0,1,1,0,0
水槽のクジラ,MAXIMUM,17,EXCESSIVE COMPLETE,S,9919210,5416,4,4,0,0
starmine (nora2r Remix),MAXIMUM,16,COMPLETE,AA+,9541366,0,1,1,0,0
Second Heaven GravityPfArrange,MAXIMUM,16,COMPLETE,AA+,9536082,4053,2,2,0,0
Chocolate Planet,MAXIMUM,17,COMPLETE,A+,9211904,5047,3,1,0,0
トラウマ催眠少女さとり！,MAXIMUM,16,COMPLETE,AA+,9662125,0,1,1,0,0
Four Leaves,MAXIMUM,17,COMPLETE,AA,9398718,4792,1,1,0,0
bass 2 bass [Tracy vs. Astronomical Remix],MAXIMUM,16,EXCESSIVE COMPLETE,S,9953531,3560,3,3,0,0
Poppin' Shower,EXHAUST,12,COMPLETE,A+,9262510,0,2,1,0,0
#Endroll,EXHAUST,18,PLAYED,A+,9116457,0,1,0,0,0
ヒミツダイヤル,VIVID,17,COMPLETE,AA+,9501597,0,2,2,0,0
Emperor's Divide,EXHAUST,17,COMPLETE,AA,9327524,0,1,1,0,0
cross the future,EXHAUST,17,EXCESSIVE COMPLETE,S,9915601,5329,5,5,0,0
GEOMETRIA,EXHAUST,18,PLAYED,A,8908924,4981,2,0,0,0
↓↓↓,EXHAUST,18,COMPLETE,AA,9489593,6809,2,1,0,0
バイナリスター,VIVID,17,COMPLETE,AA,9396082,4379,3,1,0,0
そして紫の幻想曲は全てを受け入れる,EXHAUST,17,PLAYED,AA,9437706,0,1,0,0,0
０=Xerostrumental=,EXHAUST,17,PLAYED,AA+,9523536,0,5,0,0,0
Halcyon,EXHAUST,17,COMPLETE,AA+,9666513,0,3,3,0,0
Grand Chariot,EXHAUST,16,COMPLETE,AA+,9553146,0,3,1,0,0
Grand Chariot,GRAVITY,17,PLAYED,A,8862660,0,2,0,0,0
Sephirot,GRAVITY,17,COMPLETE,A+,9297985,0,1,1,0,0
B.B.K.K.B.K.K.,EXHAUST,17,COMPLETE,AA,9476284,4701,4,3,0,0
Laughin' Muffin,EXHAUST,16,PLAYED,AA,9433838,0,1,0,0,0
Destroy,GRAVITY,17,PLAYED,AA+,9574870,0,1,0,0,0
Dualive,EXHAUST,17,PLAYED,AA+,9563743,0,1,0,0,0
archive::zip,ADVANCED,10,COMPLETE,AA,9362549,0,1,1,0,0
Inixia,ADVANCED,11,PLAYED,B,7960033,0,1,0,0,0
Inixia,GRAVITY,17,COMPLETE,AA+,9532403,6534,3,3,0,0
Virtual Bit,EXHAUST,17,COMPLETE,AA+,9690476,4714,5,1,0,0
ERROR CODE,GRAVITY,16,COMPLETE,AA,9476902,0,1,1,0,0
チルノとまりおのパーフェクトさんすう教室,EXHAUST,17,COMPLETE,AA,9491315,0,2,1,0,0
Candy Colored Hearts,EXHAUST,17,PLAYED,AA,9375000,0,1,0,0,0
雲の彼方,EXHAUST,17,COMPLETE,AA,9420768,4507,5,1,0,0
Lachryma《Re:Queen’M》,EXHAUST,18,COMPLETE,AA+,9570780,6740,8,3,0,0
Lachryma《Re:Queen’M》,GRAVITY,20,COMPLETE,AA,9405859,8010,13,1,0,0
XHAOS JUDGE,ADVANCED,12,COMPLETE,AAA,9716338,0,1,1,0,0
conflict,EXHAUST,17,COMPLETE,AA+,9600980,5890,6,5,0,0
Nofram,EXHAUST,17,PLAYED,A+,9287878,4683,5,0,0,0
The setting sun,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9894708,4011,6,6,0,0
ダブルラリアット,ADVANCED,8,PLAYED,AA,9433842,0,1,0,0,0
ダブルラリアット,EXHAUST,15,COMPLETE,AA+,9508076,0,1,1,0,0
みくみくにしてあげる♪【してやんよ】,EXHAUST,15,COMPLETE,A+,9147807,0,1,1,0,0
Garakuta Doll Play,EXHAUST,17,COMPLETE,AA,9418542,5073,4,1,0,0
Garakuta Doll Play,HEAVENLY,18,COMPLETE,AA,9432989,5976,5,2,0,0
きたさいたま2000,EXHAUST,18,PLAYED,B,8661230,4589,1,0,0,0
FLOWER,EXHAUST,18,COMPLETE,AA+,9502526,5922,1,1,0,0
紅の剣舞,EXHAUST,17,COMPLETE,AA,9316298,5453,1,1,0,0
Shanghai Wu Long ～上海舞龍～,EXHAUST,17,COMPLETE,A+,9005975,4938,1,1,0,0
Firestorm,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9829116,4892,12,8,0,0
気まぐれスターダム,EXHAUST,13,PLAYED,D,3278791,0,1,0,0,0
ECHO,EXHAUST,13,ULTIMATE CHAIN,S,9953917,3526,7,4,1,0
消失,EXHAUST,18,COMPLETE,AA,9474143,8155,7,2,0,0
ΑΩ,EXHAUST,18,COMPLETE,AA+,9564842,0,1,1,0,0
ΑΩ,GRAVITY,19,COMPLETE,AA+,9600694,7215,13,3,0,0
citrus,ADVANCED,11,PLAYED,A,8817161,0,1,0,0,0
Blastix Riotz,GRAVITY,19,PLAYED,A+,9215313,7006,4,0,0,0
Ops:Code-Rapture-,EXHAUST,18,PLAYED,A+,9080305,0,1,0,0,0
Opium and Purple haze,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9821059,0,1,1,0,0
Opium and Purple haze,GRAVITY,18,EXCESSIVE COMPLETE,S,9902837,5352,6,5,0,0
ネメシス SDVX Edit,EXHAUST,17,PLAYED,AA,9419820,0,1,0,0,0
ロンロンへ　ライライライ！,GRAVITY,17,COMPLETE,AAA,9733870,0,1,1,0,0
好きトキメキとキス,ADVANCED,11,PLAYED,A,8779421,0,1,0,0,0
Our Faith (takdrive remix),ADVANCED,10,PLAYED,A+,9215938,0,1,0,0,0
Chant du Cygne,ADVANCED,12,PLAYED,B,8627049,0,1,0,0,0
2 MINUTES FIGHTERS,EXHAUST,17,PLAYED,AA,9492964,0,5,0,0,0
LegenD.,EXHAUST,18,COMPLETE,AA+,9513860,6642,2,1,0,0
幸せになれる隠しコマンドがあるらしい,EXHAUST,16,COMPLETE,AAA+,9868143,4920,3,3,0,0
鎖の少女,EXHAUST,15,PLAYED,AA+,9549902,0,1,0,0,0
Pure Evil-Aya2g Drm'n Tech Rmx-,EXHAUST,17,COMPLETE,AA,9403114,5234,2,1,0,0
打打打打打打打打打打,EXHAUST,15,COMPLETE,AAA,9736467,0,1,1,0,0
Cleopatrysm,INFINITE,16,COMPLETE,AA+,9507640,0,1,1,0,0
REVERSE LIMITED!(SDVX Edit),EXHAUST,16,COMPLETE,AAA+,9819654,0,1,1,0,0
Harpuia,EXHAUST,17,PLAYED,A+,9291643,4800,2,0,0,0
Black Emperor,EXHAUST,18,COMPLETE,AA+,9549592,6126,1,1,0,0
Hoshizora Illumination,EXHAUST,16,COMPLETE,AAA+,9831081,0,1,1,0,0
crazy cinema story,EXHAUST,16,COMPLETE,AA,9371176,4134,3,1,0,0
ウバワレ,GRAVITY,17,COMPLETE,A+,9296668,4401,2,1,0,0
Squeeze,EXHAUST,16,COMPLETE,AA+,9601962,0,1,1,0,0
Verse IV,EXHAUST,17,COMPLETE,AA,9319659,5573,5,1,0,0
ムーニャポヨポヨスッポコニャーゴ,VIVID,18,PLAYED,A,8842756,6260,1,0,0,0
Paradoxy,EXHAUST,15,COMPLETE,A,8702096,0,1,1,0,0
Catadioptric,EXHAUST,13,PLAYED,D,5599128,0,1,0,0,0
Hail Storm,EXHAUST,12,PLAYED,A,8984042,0,1,0,0,0
Crack Traxxxx,EXHAUST,16,COMPLETE,AA,9398312,5499,1,1,0,0
VERSUS!!,EXHAUST,15,COMPLETE,A+,9055150,0,1,1,0,0
Booths of Fighters,EXHAUST,17,PLAYED,A+,9224299,0,1,0,0,0
愛くるしフール -Not EASY!!-,EXHAUST,15,PLAYED,B,8570026,0,1,0,0,0
Cirno Break,EXHAUST,16,COMPLETE,AAA,9773078,0,1,1,0,0
#Fairy_dancing_in_lake,EXHAUST,16,COMPLETE,AAA,9777306,0,1,1,0,0
OVERDRIVERS,EXHAUST,14,PLAYED,B,8624548,0,1,0,0,0
Sakura Reflection 音頭 -盆踊Remix-,EXHAUST,13,PLAYED,A,8768888,0,1,0,0,0
Joyeuse,EXHAUST,17,COMPLETE,AA,9441913,0,1,1,0,0
Joyeuse,VIVID,18,PLAYED,A,8753565,4411,1,0,0,0
ラクガキスト,VIVID,19,COMPLETE,AA,9457537,6917,15,2,0,0
ロストワンの号哭,GRAVITY,16,EXCESSIVE COMPLETE,AAA,9745119,5530,3,3,0,0
Sakura Reflection (P*Light Slayer Remix),ADVANCED,11,PLAYED,B,7825880,0,1,0,0,0
Sakura Reflection (P*Light Slayer Remix),EXHAUST,15,COMPLETE,AA,9442508,0,2,1,0,0
Diffused Reflection,EXHAUST,12,COMPLETE,AA+,9583969,0,1,1,0,0
孤独の番人,EXHAUST,16,COMPLETE,AAA,9797120,0,1,1,0,0
ケッペキショウ,EXHAUST,15,COMPLETE,AAA,9753086,0,1,1,0,0
境界インサニティー,EXHAUST,13,PLAYED,A,8742071,0,1,0,0,0
灰色の空想をつかんで,EXHAUST,12,COMPLETE,A+,9158301,0,1,1,0,0
ナイト・オブ・ナイツ,EXHAUST,15,COMPLETE,AAA,9713725,0,4,4,0,0
ナイト・オブ・ナイツ,INFINITE,17,COMPLETE,AA,9447101,4770,3,1,0,0
Gott,INFINITE,17,PLAYED,A+,9196768,0,2,0,0,0
PANIC HOLIC,ADVANCED,11,ULTIMATE CHAIN,S,9945004,3094,1,1,1,0
Max Burning!!,INFINITE,18,COMPLETE,AA+,9668927,6603,1,1,0,0
大宇宙ステージ,EXHAUST,17,COMPLETE,A+,9239766,0,1,1,0,0
TRIGGER★HAPPY,GRAVITY,16,COMPLETE,AAA,9789240,0,2,1,0,0
地球最後の告白を,EXHAUST,12,COMPLETE,A+,9032738,0,1,1,0,0
地球最後の告白を,EXCEED,17,COMPLETE,A+,9219814,0,1,1,0,0
腐れ外道とチョコレゐト,EXHAUST,14,EXCESSIVE COMPLETE,AAA,9734950,0,1,1,0,0
Ray,EXHAUST,12,COMPLETE,A+,9032258,0,1,1,0,0
rainbow flyer -gratitude remix-,EXHAUST,16,PLAYED,A+,9140625,0,1,0,0,0
Grip & Break down !! - SDVX Edit. -,EXHAUST,15,PLAYED,C,7167272,0,1,0,0,0
チルノのパーフェクトさんすう教室,INFINITE,16,COMPLETE,AA+,9591127,0,3,3,0,0
セツナトリップ,EXHAUST,15,COMPLETE,AAA+,9830508,3792,3,3,0,0
六兆年と一夜物語,EXHAUST,14,COMPLETE,AA,9453125,0,4,3,0,0
六兆年と一夜物語,INFINITE,16,EXCESSIVE COMPLETE,AAA+,9803921,4669,8,8,0,0
GAMBOL (dfk SLC rmx),INFINITE,16,COMPLETE,AAA+,9802660,0,2,2,0,0
SEED (DJ Noriken Remix),NOVICE,7,PLAYED,AA+,9622524,0,1,0,0,0
恋する☆宇宙戦争っ！！ あばばばみっくす,EXHAUST,15,COMPLETE,AAA+,9820397,0,1,1,0,0
TYCOON,INFINITE,17,EXCESSIVE COMPLETE,AAA,9737105,0,4,4,0,0
冥 Rockin' SWING REMIX,EXHAUST,16,PLAYED,AA,9482276,0,2,0,0,0
ごりらがいるんだ ～かぼちゃが歌ってみたver～,INFINITE,15,COMPLETE,A+,9289454,0,1,1,0,0
