楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
ドリームエンド・サバイバー(Hidra-Xjeil Remix),MAXIMUM,18,COMPLETE,AAA,9703053,6648,2,2,0,0
Lovesick Lovetune(brz_style),MAXIMUM,17,COMPLETE,AA+,9585398,5646,1,1,0,0
おにけもだんす,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9739551,4572,4,4,0,0
朧,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9830508,5163,2,2,0,0
KINGWORLD,MAXIMUM,18,COMPLETE,AA,9488005,0,2,2,0,0
Say!ファンファーレ!,MAXIMUM,17,EXCESSIVE COMPLETE,S,9917250,4374,8,7,0,0
Happiness World,MAXIMUM,16,ULTIMATE CHAIN,S,9969230,3854,15,13,2,0
Undead Raving Scare,EXHAUST,17,PLAYED,AA+,9605573,2517,4,0,0,0
Undead Raving Scare,MAXIMUM,19,PLAYED,A+,9169776,6763,2,0,0,0
and After the Merry BADEND,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9735982,5201,5,1,0,0
and After the Merry BADEND,MAXIMUM,19,PLAYED,A+,9140771,6683,4,0,0,0
Enter The Rave,EXHAUST,16,PLAYED,AAA,9752957,4246,1,0,0,0
Enter The Rave,MAXIMUM,18,PLAYED,AA,9386815,5650,3,0,0,0
SHARK IMPACT,EXHAUST,16,EXCESSIVE COMPLETE,S,9939467,4309,7,4,0,0
SHARK IMPACT,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9792278,5784,6,4,0,0
十三不塔,EXHAUST,16,PLAYED,AAA+,9811122,5568,1,0,0,0
十三不塔,MAXIMUM,18,PLAYED,AA,9444444,6667,2,0,0,0
HeaveИ's Rain,EXHAUST,18,COMPLETE,AA+,9610584,5866,7,3,0,0
HeaveИ's Rain,MAXIMUM,20,PLAYED,A,8756528,6495,7,0,0,0
リュミレイラ,EXHAUST,16,PLAYED,AAA+,9833456,6750,1,0,0,0
リュミレイラ,MAXIMUM,18,COMPLETE,AA+,9604622,8516,3,1,0,0
One More Lovely,EXHAUST,17,COMPLETE,AA+,9510010,0,1,1,0,0
One More Lovely,MAXIMUM,19,COMPLETE,AA,9457438,7062,1,1,0,0
Voice 7 Voice!!!!!!!,MAXIMUM,18,COMPLETE,A+,9269938,4763,3,2,0,0
APØCALYPSE RAY,EXHAUST,18,COMPLETE,AA+,9510939,0,7,3,0,0
APØCALYPSE RAY,MAXIMUM,20,PLAYED,A+,9065140,7504,4,0,0,0
ΣMERGENCY CODΣ,EXHAUST,16,PLAYED,AAA,9739803,5759,1,0,0,0
ΣMERGENCY CODΣ,MAXIMUM,18,PLAYED,AA+,9633489,7675,2,0,0,0
Spectacular“V”Adventure!,EXHAUST,17,COMPLETE,AA+,9611334,5285,5,1,0,0
Spectacular“V”Adventure!,MAXIMUM,19,PLAYED,A+,9267095,7671,2,0,0,0
BLISS,EXHAUST,16,PLAYED,AAA,9755962,5423,3,0,0,0
BLISS,MAXIMUM,18,PLAYED,AA,9461348,6979,2,0,0,0
Breakneck Pursuit,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9785177,6070,3,1,0,0
Breakneck Pursuit,MAXIMUM,19,PLAYED,A+,9183787,7594,2,0,0,0
Marielle,EXHAUST,16,PLAYED,AAA+,9809679,5169,1,0,0,0
Marielle,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9709525,6700,3,1,0,0
忘れないように、失くさないように,EXHAUST,16,PLAYED,AAA+,9810179,5793,1,0,0,0
忘れないように、失くさないように,MAXIMUM,18,PLAYED,AA+,9515774,6621,2,0,0,0
Absurd Gaff (Metallize Remix),EXHAUST,17,COMPLETE,AA,9391854,4931,1,1,0,0
うぇるかむ -||祭みっくす||-,MAXIMUM,18,PLAYED,D,2029588,1236,1,0,0,0
凛として咲く花の如く,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9770617,5530,4,2,0,0
Second Game,MAXIMUM,17,COMPLETE,AA,9420682,4862,1,1,0,0
D.I.X.,MAXIMUM,18,PLAYED,A,8744483,0,1,0,0,0
Realize／アニメ「Re:ゼロから始める異世界生活」より,MAXIMUM,17,EXCESSIVE COMPLETE,S,9937158,4715,6,6,0,0
Redo／アニメ「Re:ゼロから始める異世界生活」より,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9806839,4259,1,1,0,0
天穹のアルカナビット,EXHAUST,16,COMPLETE,A+,9167267,0,1,1,0,0
For.*tune,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9888405,5427,2,2,0,0
マツヨイナイトバグ,MAXIMUM,18,PLAYED,A+,9020852,5813,1,0,0,0
ENERGY SYNERGY MATRIX,EXHAUST,16,EXCESSIVE COMPLETE,AA+,9694940,4161,5,5,0,0
ENERGY SYNERGY MATRIX,MAXIMUM,18,PLAYED,A,8973143,5410,1,0,0,0
Zero-Day Exploit(One-Day Fusion Mix),EXHAUST,15,PLAYED,B,7841394,0,1,0,0,0
WWW,MAXIMUM,17,EXCESSIVE COMPLETE,S,9947916,1146,7,6,0,0
Distorted Floor -Boosted-,MAXIMUM,18,COMPLETE,AAA,9765020,5241,1,1,0,0
Hello， Hologram,MAXIMUM,18,COMPLETE,AA+,9625829,0,1,1,0,0
ヒバナ-Reloaded-,MAXIMUM,17,EXCESSIVE COMPLETE,S,9921840,5604,12,7,0,0
Blossom,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9884874,6399,3,3,0,0
赫焉のヴァルキュリア -Ragnarøk-,EXHAUST,17,COMPLETE,AA,9370805,0,1,1,0,0
CUDDLIE CUDDLIE,MAXIMUM,17,COMPLETE,AA+,9540662,0,1,1,0,0
SuddeИDeath,ADVANCED,15,COMPLETE,AAA,9723846,0,3,3,0,0
SuddeИDeath,EXHAUST,18,COMPLETE,AA+,9685839,8292,35,8,0,0
SuddeИDeath,MAXIMUM,20,PLAYED,A+,9132456,3370,2,0,0,0
S(TAR)²☆pistol,EXHAUST,16,COMPLETE,AA+,9514616,4476,2,2,0,0
S(TAR)²☆pistol,MAXIMUM,18,COMPLETE,AA,9480962,0,1,1,0,0
Brave Power Leader 《 = Voltage = 》,EXHAUST,16,ULTIMATE CHAIN,S,9965706,4791,12,12,3,0
Brave Power Leader 《 = Voltage = 》,MAXIMUM,18,PLAYED,A+,9226943,6256,1,0,0,0
HALO,EXHAUST,17,COMPLETE,AA,9351607,5085,4,2,0,0
HALO,MAXIMUM,19,PLAYED,A,8873290,0,1,0,0,0
[E],MAXIMUM,17,COMPLETE,AA+,9631607,5097,1,1,0,0
過去を喰らう,MAXIMUM,18,COMPLETE,AA+,9691979,7323,13,2,0,0
食虫植物,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9848116,3870,26,22,0,0
フォニイ,ADVANCED,11,PLAYED,B,8576329,0,1,0,0,0
フォニイ,EXHAUST,14,COMPLETE,AA,9402826,0,2,2,0,0
フォニイ,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9849397,6277,28,12,0,0
Initiating League,MAXIMUM,18,PLAYED,A+,9188894,5685,1,0,0,0
グッバイ宣言,ADVANCED,12,PLAYED,B,8021415,0,1,0,0,0
グッバイ宣言,EXHAUST,15,COMPLETE,AAA,9707088,0,3,3,0,0
グッバイ宣言,MAXIMUM,17,EXCESSIVE COMPLETE,S,9905425,5051,14,11,0,0
[ ]DENTITY,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9857673,0,3,3,0,0
VOLAQUAS,MAXIMUM,19,PLAYED,C,7106157,5991,1,0,0,0
perditus†paradisus,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9684291,0,1,1,0,0
インドア系ならトラックメイカー,MAXIMUM,17,COMPLETE,AA,9372211,3660,3,2,0,0
ヴァンパイア,NOVICE,4,COMPLETE,AA+,9555084,0,1,1,0,0
ヴァンパイア,MAXIMUM,17,EXCESSIVE COMPLETE,S,9941434,3936,15,14,0,0
Spider Dance / スパイダーダンス,MAXIMUM,17,COMPLETE,AA+,9597701,6051,1,1,0,0
MEGALOVANIA,ADVANCED,13,COMPLETE,AA+,9616593,0,2,1,0,0
MEGALOVANIA,EXHAUST,16,COMPLETE,AAA,9737588,0,2,2,0,0
いまきみに,EXHAUST,18,COMPLETE,AA+,9522278,6340,10,2,0,0
いまきみに,MAXIMUM,20,PLAYED,A+,9229765,8352,14,0,0,0
赫焉,EXHAUST,17,PLAYED,AA+,9552299,6461,5,0,0,0
赫焉,MAXIMUM,19,PLAYED,AA,9308544,8259,10,0,0,0
光風霽月,EXHAUST,16,PLAYED,AA+,9588888,4524,4,0,0,0
光風霽月,MAXIMUM,18,PLAYED,A,8997361,0,2,0,0,0
STIGMA,ADVANCED,13,PLAYED,AA+,9638909,0,3,0,0,0
STIGMA,EXHAUST,16,COMPLETE,AAA+,9857054,0,2,1,0,0
STIGMA,MAXIMUM,18,COMPLETE,AA+,9602301,5958,3,1,0,0
VΛZiLiSQ,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9777424,5663,3,1,0,0
VΛZiLiSQ,MAXIMUM,19,PLAYED,AA,9330019,7250,3,0,0,0
Fαtα∠ Ent∠mEnt,EXHAUST,17,PLAYED,AA+,9522321,0,2,0,0,0
Fαtα∠ Ent∠mEnt,MAXIMUM,19,PLAYED,A+,9284707,7708,2,0,0,0
Lost Parliament,EXHAUST,16,PLAYED,AAA,9791666,5334,1,0,0,0
Lost Parliament,MAXIMUM,18,PLAYED,AA,9437609,0,2,0,0,0
Finale / フィナーレ,EXHAUST,16,COMPLETE,AAA+,9810163,0,1,1,0,0
Bonetrousle,MAXIMUM,16,EXCESSIVE COMPLETE,AAA,9714854,4457,2,2,0,0
Avalanx,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9866558,6360,5,3,0,0
極夜、暁を望んで,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9870331,5259,2,1,0,0
Grandeur,EXHAUST,16,PLAYED,AAA+,9829773,4414,1,0,0,0
Stairway to the sun,EXHAUST,16,PLAYED,AAA+,9821927,4320,1,0,0,0
すべてが幻になった後で,EXHAUST,17,PLAYED,AA+,9587935,3785,2,0,0,0
Bl∞min',EXHAUST,18,COMPLETE,AAA+,9811235,8729,13,9,0,0
LaμreLs ~the Angelus~,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9784537,5027,3,1,0,0
ピアノ独奏無言歌 "灰燼",EXHAUST,17,EXCESSIVE COMPLETE,AA,9486019,5410,5,4,0,0
ステラレギア,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9781021,4671,2,2,0,0
神っぽいな,MAXIMUM,17,EXCESSIVE COMPLETE,S,9915254,3856,36,35,0,0
GOODTEK,EXHAUST,15,PLAYED,B,7606978,0,1,0,0,0
DATAERR0R,EXHAUST,16,EXCESSIVE COMPLETE,S,9915713,0,3,3,0,0
DATAERR0R,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9857142,5571,6,5,0,0
Decadence Mission,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9789757,5662,6,5,0,0
Berry Go!!,EXHAUST,15,COMPLETE,S,9941037,0,1,1,0,0
蝕,EXHAUST,16,PLAYED,AAA,9762752,0,1,0,0,0
十の試煉,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9732696,5597,3,1,0,0
Xb10r,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9881460,6091,3,1,0,0
火狐之舞,EXHAUST,16,EXCESSIVE COMPLETE,S,9926829,5697,3,2,0,0
MixxioN,EXHAUST,18,COMPLETE,AA,9414648,4780,6,1,0,0
Rhapsody ⚙f Triumph,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9756646,6942,3,1,0,0
refluxio,EXHAUST,16,COMPLETE,AAA+,9837807,5145,2,1,0,0
EncorE & cALL,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9789651,0,4,1,0,0
EncorE & cALL,MAXIMUM,19,PLAYED,AA,9438651,7883,2,0,0,0
Wings to fly high,EXHAUST,16,ULTIMATE CHAIN,S,9937033,5696,4,3,1,0
Wings to fly high,MAXIMUM,18,COMPLETE,AA+,9534235,0,3,1,0,0
AIM HIGHER,EXHAUST,16,PLAYED,AAA,9729532,4064,1,0,0,0
AIM HIGHER,MAXIMUM,18,PLAYED,AA,9467299,5335,2,0,0,0
All for One,EXHAUST,16,PLAYED,AAA+,9823167,5166,1,0,0,0
All for One,MAXIMUM,18,PLAYED,AA,9431137,0,2,0,0,0
